SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,14423 Cascade Dr SE,Snohomish,WA,98296,625000,3,2.5,The Falls,2513,11326,1990,3,249,32,Active,,,http://www.redfin.com/WA/Snohomish/14423-Cascade-Dr-SE-98296/home/2821100,NWMLS,1285028,N,Y,47.8659901,-122.1431633
MLS Listing,,Single Family Residential,16636 159th Place SE,Renton,WA,98058,499999,4,2.25,Fairwood Greens,1980,7350,1979,3,253,25,Active,,,http://www.redfin.com/WA/Renton/16636-159th-Pl-SE-98058/home/233148,NWMLS,1282431,N,Y,47.4531359,-122.1275824
MLS Listing,,Single Family Residential,8726 NE 139th St,Kirkland,WA,98034,600000,3,1.75,Finn Hill,1400,8094,1967,3,429,,Active,,,http://www.redfin.com/WA/Kirkland/8726-NE-139th-St-98034/home/278251,NWMLS,1286261,N,Y,47.725829,-122.2235618
MLS Listing,,Single Family Residential,13603 41st Ave SE,Mill Creek,WA,98012,849995,5,2.75,Mill Creek,2875,7971,2018,3,296,,Active,May-12-2018 12:00 PM,May-12-2018 03:00 PM,http://www.redfin.com/WA/Mill-Creek/13603-41st-Ave-SE-98012/home/145560999,NWMLS,1286081,N,Y,47.8737909,-122.1773251
MLS Listing,,Single Family Residential,215 86th Ave SE,Lake Stevens,WA,98258,414950,3,2.5,Lake Stevens,1742,4356,1997,3,238,17,Active,,,http://www.redfin.com/WA/Lake-Stevens/215-86th-Ave-SE-98258/home/2851887,NWMLS,1284685,N,Y,47.9938371,-122.1140836
MLS Listing,,Single Family Residential,23335 NE 142nd Place,Woodinville,WA,98077,1028000,4,2.75,Lake Of The Woods,3290,40204,1998,3,312,27,Active,,,http://www.redfin.com/WA/Woodinville/23335-NE-142nd-Pl-98077/home/273409,NWMLS,1284563,N,Y,47.7282474,-122.0242345
MLS Listing,,Single Family Residential,452 Boston St,Seattle,WA,98109,1595000,3,1.75,Queen Anne,2910,3900,1923,3,548,,Active,May-8-2018 11:30 AM,May-8-2018 01:00 PM,http://www.redfin.com/WA/Seattle/452-Boston-St-98109/home/132718,NWMLS,1285453,N,Y,47.6384247,-122.3480266
MLS Listing,,Single Family Residential,835 S 143rd Place S,Burien,WA,98168,349975,3,1.5,Burien,2390,32150,1937,3,146,,Active,,,http://www.redfin.com/WA/Burien/835-S-143rd-Pl-98168/home/193711,NWMLS,1286258,N,Y,47.4744445,-122.3217575
MLS Listing,,Single Family Residential,327 329 NW 46th St,Seattle,WA,98107,700000,3,2.0,Fremont,1490,3880,1960,3,470,,Active,May-9-2018 01:00 PM,May-9-2018 03:00 PM,http://www.redfin.com/WA/Seattle/329-NW-46th-St-98107/home/145559172,NWMLS,1286260,N,Y,47.6620192,-122.3621325
MLS Listing,,Single Family Residential,15825 NE 164th St,Woodinville,WA,98072,2250000,4,3.5,Hollywood Hill,4890,35017,2005,3,460,125,Active,,,http://www.redfin.com/WA/Woodinville/15825-NE-164th-St-98072/home/2075609,NWMLS,1278915,N,Y,47.745804,-122.1270523
MLS Listing,,Single Family Residential,1441 20th Ave,Seattle,WA,98122,799950,3,3.0,Central Area,1980,3630,1904,3,404,,Active,,,http://www.redfin.com/WA/Seattle/1441-20th-Ave-98122/home/145611,NWMLS,1286257,N,Y,47.6141528,-122.3065148
MLS Listing,,Condo/Co-op,400 Boylston Ave E #211,Seattle,WA,98102,368000,1,1.0,Capitol Hill,515,14836,1931,3,715,406,Active,,,http://www.redfin.com/WA/Seattle/400-Boylston-Ave-E-98102/unit-211/home/61527,NWMLS,1282634,N,Y,47.6221441,-122.3228386
MLS Listing,,Single Family Residential,8610 45th Ave S,Seattle,WA,98118,308000,2,1.0,Seattle,860,3663,1909,3,358,,Active,,,http://www.redfin.com/WA/Seattle/8610-45th-Ave-S-98118/home/175026,NWMLS,1286203,N,Y,47.5257436,-122.2755161
MLS Listing,,Single Family Residential,8879 SE 47th St,Mercer Island,WA,98040,1785000,5,3.25,Allview Heights,3867,9525,2002,3,462,,Active,,,http://www.redfin.com/WA/Mercer-Island/8879-SE-47th-St-98040/home/256561,NWMLS,1285319,N,Y,47.5616975,-122.2206242
MLS Listing,,Condo/Co-op,14525 NE 45th St Unit F1,Bellevue,WA,98007,375000,1,1.0,Microsoft,803,425059,1980,3,467,353,Active,,,http://www.redfin.com/WA/Bellevue/14525-NE-45th-St-98007/unit-F1/home/42182,NWMLS,1282786,N,Y,47.6503828,-122.1464571
MLS Listing,,Single Family Residential,23204 9th Place W,Bothell,WA,98021,820000,5,3.25,Kenmore,3457,6098,1999,3,237,25,Active,,,http://www.redfin.com/WA/Bothell/23204-9th-Pl-W-98021/home/2862647,NWMLS,1286242,N,Y,47.787746,-122.2462315
