,PROPERTY TYPE,ADDRESS,LOCATION,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,DAYS ON MARKET,HOA/MONTH,URL
31,Single Family Residential 2018,17917 Fremont Ave N Shoreline WA 98133,Richmond Highlands,999999.0,5,3,314,12655,102,212.,http://www.redfin.com/WA/Shoreline/17917-Fremont-Ave-N-98133/home/80851
32,Single Family Residential 2018,16106 Densmore Ave N Shoreline WA 98133,Meridian Park,650000.0,4,2.75,287,7218,104,212.,http://www.redfin.com/WA/Shoreline/16106-Densmore-Ave-N-98133/home/82780
33,Townhouse 2018,460 N 130th St Seattle WA 98133,Bitter Lake,515000.0,3,1.5,129,1330,104,212.,http://www.redfin.com/WA/Seattle/460-N-130th-St-98133/home/22271024
34,Townhouse 2018,766 N 161 Place Shoreline WA 98133,Shoreline,445000.0,3,2.25,142,300525,111,505.,http://www.redfin.com/WA/Shoreline/766-N-161st-Pl-98133/home/12361932
35,Condo/Co-op 2018,1144 N 198th St Unit E301 Shoreline WA 98133,Echo Lake,267950.0,2,1,779,134104,125,263.,http://www.redfin.com/WA/Shoreline/1144-N-198th-St-98133/unit-E301/home/22682258
36,Townhouse 2018,2322 B N 185th St Shoreline WA 98133,Shoreline,679950.0,4,3.5,187,1320,132,212.,http://www.redfin.com/WA/Shoreline/2322-N-185th-St-98133/unit-B/home/146035441
37,Single Family Residential 2018,10714 Linden Ave N Seattle WA 98133,Northgate,540000.0,2,2,980,7440,133,212.,http://www.redfin.com/WA/Seattle/10714-Linden-Ave-N-98133/home/98889
38,Mobile/Manufactured Home 2018,14515 Fremont Ave N Shoreline WA 98133,Shoreline,400000.0,3,2,110,7440,147,212.,http://www.redfin.com/WA/Shoreline/14515-Fremont-Ave-N-98133/home/22480921
39,Vacant Land 2018,152 N 175th St Shoreline WA 98133,Richmond Highlands,295000.0,0,2.69,266,20498,147,212.,http://www.redfin.com/WA/Shoreline/152-N-175th-St-98133/home/145481265
40,Multi-Family (2-4 Unit) 2018,2326 N 113th Place Seattle WA 98133,Northgate,825000.0,4,2,186,7108,150,212.,http://www.redfin.com/WA/Seattle/2326-N-113th-Pl-98133/home/103597
41,Townhouse 2018,10547 Midvale Ave N Unit A Seattle WA 98133,Seattle,420000.0,2,1,850,1321,151,212.,http://www.redfin.com/WA/Seattle/10547-Midvale-Ave-N-98133/unit-A/home/104877
42,Multi-Family (5+ Unit) 2018,10539 Midvale Ave N Seattle WA 98133,Northgate,1649000.0,11,6,518,4900,158,212.,http://www.redfin.com/WA/Seattle/10539-Midvale-Ave-N-98133/home/2081367
43,Single Family Residential 2018,7204 Dumar Wy SW Seattle WA 98106,Highland Park,430000.0,3,1.75,116,11033,71,212.,http://www.redfin.com/WA/Seattle/7204-Dumar-Way-SW-98106/home/161077
44,Single Family Residential 2018,4140 20th Ave SW Seattle WA 98106,Pigeon Point,450000.0,2,1,114,2500,75,212.,http://www.redfin.com/WA/Seattle/4140-20th-Ave-SW-98106/home/160326
45,Single Family Residential 2018,2444 SW Holden St Seattle WA 98106,Westwood,1025000.0,0,2.69,910,15050,89,212.,http://www.redfin.com/WA/Seattle/2444-SW-Holden-St-98106/home/2072629
46,Single Family Residential 2018,9827 6th Place SW Seattle WA 98106,Seattle,765800.0,3,2.25,254,3963,91,73.0,http://www.redfin.com/WA/Seattle/9827-6th-Pl-SW-98106/home/39904396
47,Single Family Residential 2018,9814 24th Ave SW Seattle WA 98106,Westwood,449950.0,2,1.75,174,13500,95,212.,http://www.redfin.com/WA/Seattle/9814-24th-Ave-SW-98106/home/180653
48,Single Family Residential 2018,4159 22nd Ave SW Seattle WA 98106,Delridge,625100.0,1,1,500,10000,95,212.,http://www.redfin.com/WA/Seattle/4159-22nd-Ave-SW-98106/home/160350
49,Single Family Residential 2018,6506 18th Ave SW Seattle WA 98106,Pigeon Point,495000.0,2,1,750,10669,96,212.,http://www.redfin.com/WA/Seattle/6506-18th-Ave-SW-98106/home/161196
50,Vacant Land 2018,6528 Delridge Wy SW Seattle WA 98106,Delridge,325000.0,0,2.69,266,5810,96,212.,http://www.redfin.com/WA/Seattle/6528-Delridge-Way-SW-98106/home/113995592
51,Vacant Land 2018,6530 Delridge Wy SW Seattle WA 98106,Delridge,350000.0,0,2.69,266,5810,96,212.,http://www.redfin.com/WA/Seattle/6530-Delridge-Way-SW-98106/home/146046649
52,Vacant Land 2018,8854 Delridge Wy SW Seattle WA 98106,West Seattle,1650000.0,0,2.69,266,8204,105,212.,http://www.redfin.com/WA/Seattle/8854-Delridge-Way-SW-98106/home/108991798
53,Townhouse 2018,7134 Shinkle Place SW Seattle WA 98106,High Point,679900.0,3,2.75,174,1664,130,181.,http://www.redfin.com/WA/Seattle/7134-Shinkle-Pl-SW-98106/home/12090390
54,Vacant Land 2018,5608 23rd Ave SW Seattle WA 98106,Delridge,365000.0,0,2.69,266,10932,131,212.,http://www.redfin.com/WA/Seattle/5608-23rd-Ave-SW-98106/home/22608567
55,Single Family Residential 2018,906 SW kenyon St Seattle WA 98106,Highland Park,400000.0,4,1,120,3095,155,212.,http://www.redfin.com/WA/Seattle/906-SW-Kenyon-St-98106/home/2084319
56,Townhouse 2018,3820 22nd Ave SW Seattle WA 98106,Pigeon Point,699950.0,2,2.5,146,2604,178,212.,http://www.redfin.com/WA/Seattle/3820-22nd-Ave-SW-98106/home/160290
57,Townhouse 2018,3818 22nd Ave SW Seattle WA 98106,Pigeon Point,719950.0,3,2.25,145,2386,178,212.,http://www.redfin.com/WA/Seattle/3818-22nd-Ave-SW-98106/home/145217626
58,Vacant Land 2018,94 Olson Place SW Seattle WA 98106,West Seattle,1200000.0,0,2.69,266,64347,205,212.,http://www.redfin.com/WA/Seattle/94-Olson-Pl-SW-98106/home/144476567
59,Single Family Residential 2018,5602 Rockefeller Ave Everett WA 98203,Everett,550000.0,3,4,280,6098,3,212.,http://www.redfin.com/WA/Everett/5602-Rockefeller-Ave-98203/home/2710982
60,Townhouse 2018,The Silver Everett WA 98201,The Towns at Riverfront,330990.0,2,2.5,134,97298,156,212.,http://www.redfin.com/WA/Everett/The-Towns-at-Riverfront/The-Silver/home/144050075
61,Townhouse 2018,The Stevens Everett WA 98201,The Towns at Riverfront,409990.0,3,3.5,154,97298,156,212.,http://www.redfin.com/WA/Everett/The-Towns-at-Riverfront/The-Stevens/home/144050074
62,Townhouse 2018,The Goodwin Everett WA 98201,The Towns at Riverfront,414990.0,4,2.5,196,97298,156,212.,http://www.redfin.com/WA/Everett/The-Towns-at-Riverfront/The-Goodwin/home/144050076
63,Single Family Residential 2018,The Tolt Everett WA 98203,Overlook at Riverfront,525990.0,3,2.5,197,97298,156,212.,http://www.redfin.com/WA/Everett/Overlook-at-Riverfront/The-Tolt/home/146179852
64,Single Family Residential 2018,The Pilchuck Everett WA 98203,Overlook at Riverfront,567990.0,4,2.5,223,97298,156,212.,http://www.redfin.com/WA/Everett/Overlook-at-Riverfront/The-Pilchuck/home/146179851
65,Single Family Residential 2018,The Merrill Everett WA 98203,Overlook at Riverfront,452990.0,3,2.5,168,97298,156,212.,http://www.redfin.com/WA/Everett/Overlook-at-Riverfront/The-Merrill/home/146433553
66,Single Family Residential 2018,9807 28th Ave SE #30 Everett WA 98208,Silver Lake,419950.0,4,2.5,164,2813,41,20.0,http://www.redfin.com/WA/Everett/9807-28th-Ave-SE-98208/unit-30/home/39483266
67,Mobile/Manufactured Home 2018,11702 7th Ave SE Everett WA 98208,South Everett,497000.0,3,2.5,252,29185,42,212.,http://www.redfin.com/WA/Everett/11702-7th-Ave-SE-98208/home/2746312
68,Single Family Residential 2018,10123 33rd Ave SE Everett WA 98208,Silver Lake,635000.0,5,2.75,241,8446,42,212.,http://www.redfin.com/WA/Everett/10123-33rd-Ave-SE-98208/home/40448918
69,Single Family Residential 2018,13212 2nd Ave SE Everett WA 98208,Martha Lake,470240.0,3,1.75,223,10890,46,212.,http://www.redfin.com/WA/Everett/13212-2nd-Ave-SE-98208/home/2656357
70,Townhouse 2018,307 126th Place SE Unit A Everett WA 98208,Silver Lake,352000.0,2,2.5,123,1685,47,42.0,http://www.redfin.com/WA/Everett/307-126th-Pl-SE-98208/unit-A/home/28641836
71,Single Family Residential 2018,13807 56th Dr SE Everett WA 98209,Silver Firs,579980.0,4,2.75,213,6098,47,212.,http://www.redfin.com/WA/Everett/13807-56th-Dr-SE-98208/home/2816979
72,Single Family Residential 2018,2509 100th St SE Everett WA 98208,Everett,460000.0,4,2.75,179,5227,48,212.,http://www.redfin.com/WA/Everett/2509-100th-St-SE-98208/home/2540587
73,Single Family Residential 2018,12122 25th Ave SE Everett WA 98208,Everett,774900.0,5,3.5,345,12898,48,42.0,http://www.redfin.com/WA/Everett/12122-25th-Ave-SE-98208/home/108876802
74,Townhouse 2018,12406 19th Ave SE Everett WA 98208,Silver Lake,439000.0,3,2.5,182,7841,48,212.,http://www.redfin.com/WA/Everett/12406-19th-Ave-SE-98208/home/2614198
75,Single Family Residential 2018,5720 112th St SE Everett WA 98208,Seattle Hill,620000.0,5,3,302,4356,48,50.0,http://www.redfin.com/WA/Everett/5720-112th-St-SE-98208/home/45390435
76,Single Family Residential 2018,14617 57th Dr SE Everett WA 98208,Silver Firs,489950.0,5,2.75,211,6970,48,18.0,http://www.redfin.com/WA/Everett/14617-57th-Dr-SE-98208/home/2810252
77,Condo/Co-op 2018,327 128th St SE Unit L222 Everett WA 98208,Silver Lake,124999.0,1,1,593,97298,50,420.,http://www.redfin.com/WA/Everett/327-128th-St-SE-98208/unit-L222/home/2789744
78,Single Family Residential 2018,14022 2nd Ave W Everett WA 98208,Martha Lake,650000.0,4,2.5,272,10890,50,25.0,http://www.redfin.com/WA/Everett/14022-2nd-Ave-W-98208/home/45390102
79,Single Family Residential 2018,1304 123rd Place SE Everett WA 98208,Silver Lake,476200.0,3,2.75,238,9583,53,212.,http://www.redfin.com/WA/Everett/1304-123rd-Pl-SE-98208/home/2747307
80,Single Family Residential 2018,12103 33rd Dr SE Everett WA 98208,Silver Lake,574950.0,5,2.5,263,10454,53,212.,http://www.redfin.com/WA/Everett/12103-33rd-Dr-SE-98208/home/2659527
81,Townhouse 2018,12925 3rd Ave SE Unit C3 Everett WA 98208,Martha Lake,429950.0,2,2.25,134,1019,54,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-C3/home/146425498
82,Single Family Residential 2018,9302 9th Dr SE Everett WA 98208,Everett Mall,549950.0,3,2.5,284,8712,54,212.,http://www.redfin.com/WA/Everett/9302-9th-Dr-SE-98208/home/2773702
83,Single Family Residential 2018,12832 25th Ave SE Everett WA 98208,Everett,849000.0,3,2.5,342,61855,56,212.,http://www.redfin.com/WA/Everett/12832-25th-Ave-SE-98208/home/2675619
84,Single Family Residential 2018,9910 Lowell Larimer Rd Everett WA 98208,Everett,179900.0,0,2.69,448,95832,56,212.,http://www.redfin.com/WA/Everett/9910-Lowell-Larimer-Rd-98208/home/2534871
85,Single Family Residential 2018,2517 122nd Place SE Everett WA 98208,Silver Lake,585000.0,4,2.5,199,3485,61,50.0,http://www.redfin.com/WA/Everett/2517-122nd-Pl-SE-98208/home/45118814
86,Single Family Residential 2018,14416 Cascadian Wy Everett WA 98208,Martha Lake,495000.0,4,2.25,213,13504,61,212.,http://www.redfin.com/WA/Everett/14416-Cascadian-Way-98208/home/2656614
87,Townhouse 2018,28 SE 112th St SE Everett WA 98204,Silver Lake,439950.0,4,2.5,178,9122,62,102.,http://www.redfin.com/WA/Everett/28-112th-St-SE-98208/home/146266978
88,Single Family Residential 2018,2521 101st St SE Everett WA 98208,Silver Lake,549950.0,5,2.5,241,8276,62,212.,http://www.redfin.com/WA/Everett/2521-101st-St-SE-98208/home/2837484
89,Townhouse 2018,8823 Holly Dr #507 Everett WA 98208,South Everett,259950.0,2,2.25,122,97298,62,250.,http://www.redfin.com/WA/Everett/8823-Holly-Dr-98208/unit-507/home/2870353
90,Single Family Residential 2018,11924 43 Dr SE Everett WA 98208,Silver Lake,514900.0,3,1.75,152,8276,63,212.,http://www.redfin.com/WA/Everett/11924-43rd-Dr-SE-98208/home/2821722
91,Single Family Residential 2018,11720 23rd Dr SE Everett WA 98208,Silver Lake,549995.0,4,2.5,246,9148,66,212.,http://www.redfin.com/WA/Everett/11720-23rd-Dr-SE-98208/home/2900272
92,Single Family Residential 2018,13022 23rd Ave SE Everett WA 98208,Silver Lake,549950.0,4,2.5,222,4792,68,212.,http://www.redfin.com/WA/Everett/13022-23rd-Ave-SE-98208/home/2882458
93,Single Family Residential 2018,6212 146th Place SE Everett WA 98208,Everett,538000.0,4,3,225,7405,68,15.0,http://www.redfin.com/WA/Everett/6212-146th-St-SE-98208/home/2823011
94,Single Family Residential 2018,11924 47th Dr SE Everett WA 98208,Pioneer Trails,499900.0,4,3.25,275,14375,69,212.,http://www.redfin.com/WA/Everett/11924-47th-Dr-SE-98208/home/2812670
95,Single Family Residential 2018,3920 109th Place SE Everett WA 98208,Everett,549500.0,3,2.5,211,8276,69,212.,http://www.redfin.com/WA/Everett/3920-109th-Pl-SE-98208/home/2813678
96,Condo/Co-op 2018,319 128th St SE Unit N226 Everett WA 98208,Silver Lake,184000.0,2,0.75,837,119807,69,533.,http://www.redfin.com/WA/Everett/319-128th-St-SE-98208/unit-N226/home/2789754
97,Townhouse 2018,1600 121st St SE Unit P103 Everett WA 98208,Silver Lake,399950.0,3,2.5,144,497138,74,309.,http://www.redfin.com/WA/Everett/1600-121st-St-SE-98208/unit-P103/home/2846102
98,Single Family Residential 2018,8703 Eastview Ave Everett WA 98208,Eastmont,520000.0,5,3,256,11761,75,212.,http://www.redfin.com/WA/Everett/8703-Eastview-Ave-98208/home/2682112
99,Single Family Residential 2018,10103 1st Dr SE Everett WA 98208,Everett,319990.0,2,2,133,15246,75,212.,http://www.redfin.com/WA/Everett/10103-1st-Dr-SE-98208/home/2667508
100,Single Family Residential 2018,11526 27th Ave SE Everett WA 98208,Silver Lake,500000.0,4,2.25,216,9583,75,212.,http://www.redfin.com/WA/Everett/11526-27th-Ave-SE-98208/home/2747058
101,Single Family Residential 2018,12029 38th Ave SE Everett WA 98208,Everett,425900.0,3,3.5,190,3920,80,60.0,http://www.redfin.com/WA/Everett/12029-38th-Ave-SE-98208/home/2865067
102,Vacant Land 2018,12700 16th Ave SE Everett WA 98208,Silver Lake,175000.0,0,2.69,266,33105,82,212.,http://www.redfin.com/WA/Everett/12700-16th-Ave-SE-98208/home/85522487
103,Single Family Residential 2018,8909 Whitechuck Dr Everett WA 98208,Eastmont,529950.0,4,2.75,182,11326,87,212.,http://www.redfin.com/WA/Everett/8909-Whitechuck-Dr-98208/home/2681707
104,Single Family Residential 2018,7115 Larimer Rd Everett WA 98208,Lowell,599950.0,3,1.75,180,335848,106,212.,http://www.redfin.com/WA/Everett/7115-Larimer-Rd-98208/home/145977378
105,Single Family Residential 2018,12925 3rd Ave SE Unit B4 Everett WA 98208,Martha Lake,429950.0,2,2.25,138,836,124,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-B4/home/145681709
106,Townhouse 2018,12925 3rd Ave SE Unit B5 Everett WA 98208,Martha Lake,429950.0,2,2.25,144,857,124,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-B5/home/145681623
107,Townhouse 2018,12925 3rd Ave SE Unit B2 Everett WA 98208,Martha Lake,429950.0,2,2.25,144,799,124,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-B2/home/145681622
108,Townhouse 2018,12925 3rd Ave SE Unit B1 Everett WA 98208,Martha Lake,429950.0,2,2.25,144,916,124,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-B1/home/145681621
109,Townhouse 2018,12925 3rd Ave SE Unit E3 Everett WA 98208,Martha Lake,389950.0,2,2.25,138,954,172,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-E3/home/145252254
110,Single Family Residential 2018,12925 3rd Ave SE Unit E4 Everett WA 98208,Martha Lake,394950.0,2,2.25,144,983,172,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-E4/home/145252253
111,Townhouse 2018,12925 3rd Ave SE Unit E5 Everett WA 98208,Martha Lake,399950.0,2,2.25,138,1910,172,117.,http://www.redfin.com/WA/Everett/12925-3rd-Ave-SE-98208/unit-E5/home/145252235
112,Single Family Residential 2018,11406 53rd Ave SE Everett WA 98208,Everett,715000.0,5,2.5,250,7405,175,212.,http://www.redfin.com/WA/Everett/11406-53rd-Ave-SE-98208/home/54474613
113,Multi-Family (2-4 Unit) 2018,1302 -1308 Shaker Place Moses Lake WA 98837,Garden Heights,469900.0,8,6,475,12632,314,212.,http://www.redfin.com/WA/Everett/1304-Bruskrud-Rd-98208/home/113995791
114,Vacant Land 2018,6 Larimer Rd Everett WA 98208,Lowell,250000.0,0,2.69,266,723531,482,212.,http://www.redfin.com/WA/Everett/6-Larimer-Rd-98208/home/104490468
115,Vacant Land 2018,7527 Larimer Rd Everett WA 98208,Lowell,250000.0,0,2.69,266,307533,482,212.,http://www.redfin.com/WA/Everett/7527-Larimer-Rd-98208/home/2488966
116,Vacant Land 2018,9420 7th Ave SE Everett WA 98208,Everett,900000.0,0,2.69,266,87120,523,212.,http://www.redfin.com/WA/Everett/9420-7th-Ave-SE-98208/home/113720228
117,Vacant Land 2018,600 103rd Place SE Everett WA 98208,Everett Mall,324995.0,0,2.69,266,24393,530,212.,http://www.redfin.com/WA/Everett/600-103rd-Pl-SE-98208/home/105486706
118,Townhouse 2018,Hampton - Lot 8 Everett WA 98208,Woodland Park Estates,474402.0,4,3.5,217,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Hampton-Lot-8/home/147111516
119,Townhouse 2018,Hampton - Lot 11 Everett WA 98208,Woodland Park Estates,473586.0,4,3.5,217,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Hampton-Lot-11/home/147111515
120,Townhouse 2018,Hampton - Lot 12 Everett WA 98208,Woodland Park Estates,471607.0,4,3.5,217,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Hampton-Lot-12/home/147111514
121,Townhouse 2018,Hampton - Lot 14 Everett WA 98208,Woodland Park Estates,475423.0,4,3.5,217,97298,156,212.,http://www.redfin.com/WA/Everett/Woodland-Park-Estates/Hampton-Lot-14/home/147111513
